mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,ID,iPSC-T1R1,iPSC-T1R2,iPSC-T1R3,iPSC-T2R1,iPSC-T2R2,iPSC-T2R3,m15-T1R1,m15-T1R2,m15-T1R3,m15-T2R1,m15-T2R2,m15-T2R3,mESC-T1R1,mESC-T1R2,mESC-T1R3,mESC-T2R1,mESC-T2R2,mESC-T2R3,number_of_observation_per_peak
528.8487566,528.847871,528.8494393,606.382,604.153,609.726,31,611643.7667,463842.4225,633058.492,813273.5827,776467.4606,756850.0778,831877.4641,687714.3708,993775.1137,1480692.582,1693737.939,1596007.876,991537.1266,1035293.149,954588.286,706112.938,781757.6914,762631.02,18
530.2875064,530.2866227,530.3276024,316.3745,307.86,437.045,32,217344.1138,172425.507,189897.7654,262171.4452,308388.8229,283896.3389,86265.90871,94231.89942,100122.2919,231283.0694,360750.197,275842.2995,204211.58,140449.0053,114005.6004,255713.1547,255091.4872,275081.5433,18
594.8776695,594.8769454,594.8785145,606.277,604.153,609.726,33,666796.2943,502655.2292,644873.4129,765974.0694,682215.3597,744445.8009,613423.268,439545.816,744272.4585,771143.1969,700075.4488,697263.5058,685064.1839,642886.4086,596362.4299,692510.6241,853263.9126,790855.5762,18
610.8519394,610.8510321,610.8527094,606.382,604.153,609.726,34,757219.4929,616396.5017,794182.4836,1071421.74,996372.9772,1038918.809,913459.7949,676595.988,1095027.303,1450297.412,1485738.652,1425315.273,1038307.248,1043418.106,992925.6218,961041.08,1119772.829,1071541.757,18
612.8493816,612.848308,612.8502296,606.277,604.153,609.726,35,367223.3978,287652.3216,359249.7382,488147.0725,457499.0619,472413.1236,419536.6484,316010.9524,478442.7655,663208.2269,682271.1397,665124.0985,475547.6336,481484.4118,399181.0993,441142.3144,507542.414,493797.066,18
615.4547666,615.4540914,615.4562696,249.2275,242.648,254.824,36,93903.31491,162890.9249,261623.9685,333389.6237,434475.5073,482827.0416,45604.05602,81156.00142,57261.61613,260477.022,559591.097,513751.6888,62848.73472,87661.17569,92921.24141,198450.5642,216219.7311,116942.294,18
627.5346661,627.5330138,627.5376908,154.777,114.999,218.702,37,2476850.963,4530468.287,2234901.956,1961084.401,1448985.222,1998439.112,1385969.37,209658.0126,2385362.55,1134780.459,908790.5909,1086005.64,3170403.815,5348523.164,4320071.689,1844807.509,4739628.519,2531892.1,18
682.5620105,682.5609452,682.5630788,113.788,112.42,115.333,38,845395.8768,744070.204,796000.9492,768790.5021,1440817.552,996494.4544,1167199.48,592829.5679,824874.79,801322.329,693766.705,549238.8961,914253.3434,1033001.461,880203.7701,669645.6742,1545557.179,1329942.195,18
690.5065681,690.5049804,690.5074749,238.958,234.715,243.219,39,148697.243,122187.7344,133866.0137,320563.4113,325905.4677,327739.5602,199911.8637,84781.50322,201963.6889,442836.5855,474769.2,441621.8427,104972.3001,121456.293,113620.6777,269302.5829,303224.3505,259864.3558,18
692.8542701,692.8533374,692.8551516,606.382,604.153,609.726,40,281557.0664,247791.5871,295913.7855,383532.2514,350084.1688,372249.0457,299613.2874,198689.99,349400.899,401725.4401,375593.067,372641.8121,333548.8695,318245.7222,208412.7073,334535.8655,427953.9678,395193.7598,18
701.5590383,701.4927598,701.5599944,646.094,553.046,648.016,41,385700.0898,325443.9021,338587.9355,420284.5014,430483.4118,403040.3019,335289.2461,198041.688,289790.8203,738083.478,825088.1649,703956.149,686567.3818,684430.0589,579783.5756,595078.1295,640541.8249,544819.0903,18
701.5750226,701.5621576,701.5760365,114.125,112.42,131.908,42,165041.4779,97572.92967,155179.6804,121289.8802,242142.1059,168145.638,224281.2792,135243.0598,156886.7499,132101.998,118318.6605,97009.57719,158593.2884,186504.3844,162505.4222,120525.5276,264333.625,231787.8688,18
702.5425939,702.5411363,702.5431064,225.905,222.794,228.363,43,376569.3575,476175.5553,411614.1065,689960.9133,820912.386,788336.5216,1480620.685,385861.1976,1329344.699,1215980.83,1175429.729,1318736.691,388555.4627,426481.5074,361071.6375,571600.978,777650.1819,626839.8415,18
702.5622988,702.5610799,702.5633293,646.1475,643.366,648.016,44,161451.483,144720.4005,140211.7717,172537.7913,186386.7841,170892.0488,145991.68,84971.37596,115590.6107,321737.823,349252.6841,301608.2736,292751.6267,288942.4589,233661.6193,253259.4208,260899.5387,254502.7318,18
704.5788217,704.5778814,704.5795662,645.966,642.473,646.882,45,2506401.33,2173124.712,2160753.903,1382520.288,1571093.858,1458581.409,3012190.803,1060346.232,2541563.565,1227691.328,932007.8042,1057957.054,3182511.512,3489352.432,2775335.425,1291238.726,2389133.427,1958848.352,18
705.581807,705.5754852,705.5898116,645.045,634.42,657.609,46,525882.8114,518955.1958,458942.0567,328758.2862,369641.6679,357924.0172,735928.3414,248106.0947,629411.9633,269990.2904,215193.5713,236793.2505,707970.2834,845178.0843,657583.4869,304332.2851,627000.6042,473964.0771,18
716.5230898,716.5221792,716.5504166,233.336,135.849,236.587,47,314441.2958,275670.1283,282014.609,879516.554,859705.7155,877487.2286,706195.7523,266863.2193,596144.067,1204688.509,1368803.814,1185162.444,247828.3668,250359.2501,227452.9593,580344.2142,610519.0077,554102.842,18
717.5258063,717.5238474,717.5557678,233.737,137.361,238.243,48,145520.8659,71990.3523,126264.5581,354125.7533,361524.9428,364144.7908,299525.7995,112148.0238,235519.5229,514351.465,572744.8241,506632.3789,99911.80741,94337.56969,106578.9184,230057.508,207407.7982,234518.0962,18
718.5380234,718.5359872,718.5385013,234.6575,230.733,238.243,49,974643.9633,928317.477,863124.3138,1826886.221,1946514.137,1923119.346,1447964.738,437849.2609,1331454.554,1871207.758,1823325.032,1864161.555,662018.1173,644476.4482,580724.7501,1169893.084,1486438.998,1159621.806,18
719.5412279,719.5400778,719.5416106,234.736,232.064,238.243,50,394546.0219,406643.6562,351516.0982,768205.3461,816335.3892,807549.6204,589666.8671,169978.4128,534420.5847,782597.5318,745578.3021,770249.5097,281080.5443,287576.6563,244410.0147,475936.0432,618181.982,474026.0257,18
721.5076787,721.5073113,721.5089871,98.3775,96.532,99.031,51,2505676.794,2369756.268,2162558.413,3448789.002,4108090.393,3992865.804,2355896.777,1737902.597,2311165.796,4427854.362,4449546.176,3791577.706,2154324.411,2243581.791,2086400.489,4398989.589,3555991.515,3700102.371,18
724.5280275,724.5268196,724.5286265,214.454,210.881,215.944,52,2656106.675,2811534.567,2473959.402,3625026.095,4072926.247,3897052.136,1436775.868,651654.549,1382240.764,2952604.687,3175253.158,2997506.103,3462058.739,3557133.458,3291992.171,4785583.411,5193375.288,4452245.384,18
725.530917,725.5120672,725.5319489,213.831,118.276,215.944,53,1165231.244,1272566.267,1086691.927,1731872.205,1940842.57,1861298.32,639368.408,271767.3646,580509.238,1315983.609,1513434.782,1406423.212,1541007.216,1575110.699,1439161.123,2263665.216,2514474.494,2155591.664,18
725.5572807,725.5512917,725.5581556,645.887,642.473,657.322,54,2071803.716,1643110.641,1842952.995,1371565.871,1505211.242,1456043.557,2441459.242,502431.1327,2078011.867,1168390.344,824317.4036,946046.7925,2639051.528,2985334.995,2240415.081,1257398.777,2533006.366,2005825.615,18
726.5383321,726.5357972,726.5419479,216.606,212.569,224.3,55,360185.7852,471628.182,495219.1902,902344.7997,956671.1861,651896.777,784086.0329,313248.3292,738635.5881,835919.1371,1050291.161,845145.5689,648886.6924,572984.9115,687801.2338,1014208.173,789532.6112,843525.2205,18
726.5601585,726.5556199,726.5613391,645.6355,641.628,657.984,56,878222.3491,688992.8526,805066.4006,596633.3111,666757.4149,646379.1472,1057191.872,216018.1244,892380.699,479373.8238,339704.4084,388285.0328,1140879.571,1292794.505,968220.9106,537832.2073,1147992.332,932341.7853,18
727.5442774,727.5410907,727.5461777,218.483,214.769,221.883,57,142125.3849,180473.9777,158042.9133,332148.069,279551.4976,304688.6793,307652.499,119855.7799,280714.4441,302346.6915,451471.7393,430575.4958,163740.2158,221925.1584,181508.6146,327529.8139,377317.9723,388452.8888,18
728.557616,728.5557472,728.5585571,220.7635,217.503,223.498,58,302061.3184,386289.7398,327120.1358,621118.3675,712974.8938,724702.6502,1417230.387,445635.764,1363485.61,1021356.291,1128730.041,1128126.917,307258.209,315111.921,264109.4517,520495.4912,614943.8962,494015.9437,18
729.5610863,729.5590494,729.5618378,220.89,217.503,223.348,59,145881.3233,158274.3106,130549.8335,290530.7655,293449.7353,296583.5867,597140.9374,176689.0365,575805.7942,449682.9487,458719.2448,487358.4262,126733.9516,137158.7593,110615.3181,204123.7428,250746.631,190364.1218,18
734.5636231,734.5120378,734.5723171,520.233,449.493,550.974,60,14000880.34,4836513.398,12907644.03,14290661.7,14940405.53,13358601.89,7498345.444,4726822.156,5904406.571,16123471.89,14078527.24,14028684.14,6635521.605,15902756.72,10658367.91,13552891.21,21876921.27,19509111.5,18
735.572619,735.514334,735.5739263,527.5515,464.714,550.974,61,5483238.106,4790458.635,5451245.046,6323244.039,6577161.327,5832581.067,3591034.252,1712145.043,2574654.683,6944556.704,6571735.9,6344863.104,3926172.511,6970803.996,4983870.49,6889280.837,10022112.68,8935723.421,18
736.5758125,736.5493933,736.5766608,534.209,515.529,618.864,62,1395521.757,1317579.962,1308389.094,1686607.31,1816608.589,1559741.591,855016.9322,327496.5612,582049.4391,1907194.105,1799267.578,1744875.547,1029787.655,1670563.238,1081367.319,1906531.605,2874250.054,2489174.503,18
738.5107829,738.5022805,738.5426892,223.0805,113.792,236.587,63,130064.4525,170528.9755,84646.03045,242352.1912,278472.9588,263666.6282,166872.3882,49713.20045,115289.0776,353308.5466,240262.7456,292912.0575,193821.2097,175460.2855,147606.8959,324578.2949,339068.8728,278318.5637,18
739.5406742,739.5051951,739.5467397,214.157,208.24,233.895,64,55749.58164,65498.7484,39443.38846,92040.69681,115503.5181,118209.0215,84492.29422,26577.2798,48039.5942,56344.43847,136033.1027,82013.03651,83343.9398,90566.45782,73363.52747,138824.9194,143850.837,115029.94,18
740.5232814,740.5193388,740.55421,222.967,208.24,236.223,65,507549.7377,439634.6852,602081.7416,1039891.041,1101442.798,993994.5343,586355.8221,189608.2702,328785.9496,1144223.015,1344783.658,1279885.614,691613.8328,739585.3232,677496.1056,1085474.602,1359079.861,1333913.181,18
742.5370088,742.5350617,742.5383836,227.5215,224.113,229.997,66,327318.9351,297728.2215,310748.076,641723.0496,658625.8802,678259.8333,448041.6941,227246.581,425414.2954,911122.1272,985068.7187,916300.7187,339825.8648,326489.895,315584.3892,607928.2849,676428.9775,557836.3546,18
743.5409168,743.5388141,743.5426365,227.672,224.113,230.819,67,109296.2372,85376.43836,125867.178,261450.0744,288740.4454,256053.6247,190397.5428,91129.70804,156787.1833,373187.038,426220.2972,364488.9468,125216.6791,116160.7933,104893.1397,269610.6279,300707.4228,254620.3806,18
744.5839546,744.5705192,744.5901252,501.476,469.899,528.877,68,226844.0416,312296.7124,514468.3074,666514.6775,608278.7978,708512.1305,886174.4842,579091.5346,382545.8001,1049522.691,1222354.759,1371939.411,535329.5795,513290.6586,373930.0999,1135983.034,1235795.512,809762.5528,18
745.5870484,745.4939733,745.5929782,504.551,472.749,649.567,69,243819.4643,115905.7342,79533.18537,379963.125,296196.4633,254457.0251,423596.1101,296951.6595,348135.7141,664816.3628,563338.3839,354120.2007,167125.0996,235041.0295,176966.0504,325726.3928,389033.0201,329278.6051,18
745.5567335,745.4982599,745.5580137,228.7585,187.142,291.17,70,835592.7624,805541.3095,745815.0346,1835984.433,1984997.94,1961848.804,1699673.486,598379.9514,1633982.589,1845121.083,2039611.768,1975898.55,431901.7271,435488.144,399531.0078,957490.4171,44578.33351,827576.0615,18
746.5906196,746.5740639,746.6021959,513.017,487.876,549.364,71,2110103.217,1586970.712,1268677.545,3097890.975,2563362.696,2159097.458,4452062.556,1319079.664,2788440.299,5383426.077,6296687.323,4889881.673,1962907.219,1826509.705,1421876.586,3038286.012,4335210.195,2518501.96,18
746.5374609,746.5087625,746.569057,214.812,146.345,234.11,72,867266.959,915666.2912,898154.9991,1569419.85,1697567.863,1562594.65,1307002.638,368051.9019,1255100.466,1285650.848,1129454.994,1332835.045,616423.5596,594741.5876,514327.0207,953457.2611,1401074.195,1022224.052,18
747.541339,747.5119453,747.5724121,222.182,209.56,234.932,73,355008.4952,352347.011,293078.6743,572253.5514,618273.7031,632602.4199,477356.0493,121203.1398,464849.2041,464285.7337,431679.7246,483413.6796,240997.411,251134.9681,229517.2261,380686.5972,572598.3072,411352.3584,18
747.5856768,747.5313512,747.6058866,504.856,427.505,549.364,74,618657.9547,711352.5251,583029.8048,1420383.771,170897.1485,1693951.507,1553176.382,535805.4404,616203.7118,3752378.036,3281364.288,2664504.094,901756.648,1264100.659,663369.2994,1017953.516,2553646.002,1735677.948,18
748.5904049,748.5348979,748.6041604,509.463,428.254,547.734,75,578339.4069,302618.0575,423805.5775,1084255.246,1330235.451,1145623.873,647343.0967,330702.1897,552070.5455,1699153.461,1698248.226,1631072.048,617079.6292,527762.8925,374865.7279,1298442.733,1187856.416,1419656.566,18
748.5274239,748.5244613,748.5683381,211.2315,117.863,243.866,76,998923.5369,1024522.395,184661.143,1700077.738,1925207.331,1790835.093,609313.3793,349394.4229,562976.0285,1611826.892,1803772.779,1625460.038,1261010.121,1315303.413,1161726.269,2367744.618,2460684.129,2147983.739,18
749.5305134,749.5293348,749.5315064,210.663,119.163,212.411,77,393151.0952,461028.7955,407628.5977,825647.5543,894981.7603,839814.6855,282479.1122,158797.6921,274001.7469,729222.3773,840804.2575,776150.804,593999.3569,595548.2219,556882.6491,1118907.017,1152347.064,990820.9059,18
750.5433883,750.5396344,750.5438049,210.916,208.205,225.998,78,3439574.708,3401489.98,3213156.611,4638082.521,5744186.3,5513188.422,2341954.527,1159033.938,2257274.329,4483444.72,4995473.268,4661682.935,4539796.66,4636428.741,4268991.821,7020959.088,7337986.873,6410516.628,18
751.5469376,751.5408014,751.5478018,210.663,117.863,212.846,79,1596178.654,1534610.541,1461152.345,2675989.912,2793580.354,2751289.256,1046399.737,520754.671,1003530.713,2179537.021,2421360.923,2198584.715,2087649.521,2146849.025,1957199.617,3418427.41,3552567.131,3102590.584,18
752.5539969,752.5140001,752.5575825,211.113,143.711,237.787,80,1563328.459,1679130.592,1468872.925,2500594.089,3129644.025,2996131.326,1371013.098,601117.4891,1271991.579,2685698.923,2938515.923,2843358.159,1934957.029,1799677.556,1860612.244,3589515.628,3785144.948,3143130.653,18
753.5601796,753.5146107,753.5615992,212.849,143.834,233.795,81,637262.8726,715634.0287,613670.0316,940178.0111,1270540.389,1141079.619,553732.9644,235050.2456,560176.3246,1086362.505,1203418.668,1160538.689,782358.3746,805614.8179,692462.0932,1443591.507,1558648.44,1268520.005,18
758.5653422,758.5308209,758.571549,526.838,495.638,617.861,82,12903775.44,10951221.49,12182215.52,18529702.62,17938684.49,17376744.34,14869861.43,12597956.45,16079447.4,23295576.78,25446456.4,22294954.97,15986935.52,15301295.29,13346113.78,18781917.35,19133860.15,18566292.74,18
759.5734929,759.5649301,759.5744586,501.195,495.638,552.573,83,6016387.261,4966912.384,5581406.846,8971093.966,8742056.294,8436930.286,7027258.802,5802996.682,7606673.027,11463111.27,12677677.26,10956742.6,7275105.391,6993278.064,6111433.591,9111186.325,9332889.469,8974481.788,18
762.505775,762.5035559,762.5643076,222.4815,121.568,236.477,84,135699.2785,115630.173,132654.8562,237413.0849,191655.181,178389.8054,119747.4048,40029.14601,24569.50853,231031.9036,253721.2131,215014.4168,161200.4521,170647.178,176368.8914,244283.8456,261250.8926,264065.9804,18
764.523213,764.5213371,764.5560212,219.5875,119.566,224.938,85,459524.3591,332713.0615,378730.1577,415876.8419,102130.5506,821963.9549,268635.3386,172949.5808,248554.6649,778060.1213,915406.0234,758155.21,468538.7717,493867.7833,399497.5123,1003298.361,1029800.371,734520.8506,18
764.5963133,764.5493831,764.6030944,503.791,419.314,515.533,86,204962.8737,158912.6787,227077.5788,310961.4379,302041.7977,317096.8778,244999.3538,142480.6441,142959.3475,286368.3265,429886.0635,434706.1731,353792.4513,289159.9612,315286.3244,399977.6698,453256.4106,429543.2516,18
765.5258863,765.522386,765.5602264,220.59,208.245,232.538,87,207776.8481,154564.1414,186056.5056,361336.4023,392064.8196,379268.9503,114719.0002,65936.71978,98929.72481,327707.2357,404198.9055,346802.6446,225186.512,157906.9239,165647.1153,442270.3929,481307.1762,444063.6093,18
766.5383597,766.5031039,766.5696115,220.225,208.888,278.635,88,1469007.979,923585.3056,1214087.783,1856671.929,2741305.217,2618760.95,1501267.646,910066.7312,1751871.692,2989436.74,3296076.555,2712481.522,1529656.813,1635020.881,1215815.829,2729302.928,2840955.143,2595487.627,18
767.5405752,767.5115135,767.5426208,219.23,103.48,282.772,89,672329.6315,568814.1704,569592.0019,878890.106,919486.802,1149068.154,779814.3204,371658.4372,635115.3616,1300550.569,1532116.648,1234455.033,717013.3713,683532.2093,575382.6287,1235007.744,1321125.257,1043251.087,18
768.5784565,768.5574982,768.5885158,512.348,442.296,558.803,90,1021515.693,437506.9552,902228.2226,1438066.294,1535599.811,1345400.663,911950.5814,373727.53,1036511.559,824256.131,939385.2124,749839.9229,1396721.436,1519420.569,1353150.618,2186603.833,2319939.193,2185399.667,18
769.5810036,769.5602844,769.5915663,506.088,470.373,550.974,91,463249.7278,153073.3558,409794.847,564301.9461,623738.2002,586442.4667,347810.042,244237.0208,439918.9029,332249.6472,357668.9323,407810.949,175738.1204,722752.0924,529059.8923,941170.121,1013194.714,999043.6602,18
769.5571453,769.555125,769.5584759,219.353,216.173,220.916,92,1124483.735,1264372.247,995438.199,1706753.561,1904833.534,1832448.457,721248.7083,287994.5361,656774.6465,1612698.734,1783332.185,1707924.794,1377652.977,1339737.947,1209395.094,2445196.075,2641655.766,2220563.024,18
770.5953517,770.5503503,770.6041448,471.983,457.341,547.734,93,397308.2077,148718.7966,309482.3475,119601.8978,615272.997,225861.0036,382128.6912,209077.0671,271182.6577,355937.4934,413522.7618,341365.2146,145829.1656,392881.0184,347041.1845,237293.2363,417408.5057,447381.9618,18
770.5329887,770.5083229,770.5675875,222.063,122.769,290.836,94,470857.2713,440950.7506,298634.2869,687444.2896,60666.0056,801794.565,415728.5823,112759.396,413249.0604,445138.4647,674213.2444,586351.5467,518895.2267,380015.1325,497368.5775,1015514.437,1257963.612,145901.4355,18
771.5374692,771.512155,771.5716102,223.232,133.059,291.932,95,55168.89163,204442.5115,43512.75088,309946.1186,373976.681,320357.984,155806.7608,48568.46912,82154.34335,198538.0425,272419.9216,241159.6119,181177.1667,231538.7144,187521.4074,468477.535,430840.1991,424683.9742,18
